Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
33,4,0,90,0,90,1774577042363,1774577042370,9934980,0,9934980
34,4,0,77,0,77,1774577046364,1774577046369,8807160,0,8807160
35,4,0,86,0,86,1774577050366,1774577050372,10180234,0,10180234
36,4,0,102,0,102,1774577054367,1774577054372,12481455,0,12481455
37,4,0,97,0,97,1774577058367,1774577058373,12256802,0,12256802
38,4,0,91,0,91,1774577062369,1774577062374,11862008,0,11862008
39,4,0,87,0,87,1774577066372,1774577066379,11686534,0,11686534
40,4,0,71,0,71,1774577070369,1774577070375,9387155,0,9387155
41,4,0,112,0,112,1774577074373,1774577074380,14140262,0,14140262
42,4,0,87,0,87,1774577078371,1774577078375,11330585,0,11330585
43,4,0,87,0,87,1774577082369,1774577082374,11676611,0,11676611
44,4,0,0,0,0,1774577086366,1774577086371,0,0,0
45,4,0,0,0,0,1774577090366,1774577090375,0,0,0
46,4,0,0,0,0,1774577094367,1774577094373,0,0,0
