Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,107,1000,854,45,1774576643420,1774576643442,4077458,3482092,183638
2,0,104,780,420,311,1774576647411,1774576647424,6269023,3371796,2503977
3,0,351,1000,772,151,1774576651419,1774576651436,12016006,9272473,1818693
4,0,314,1000,606,325,1774576655419,1774576655435,15995987,9686888,5206176
5,0,100,422,185,221,1774576659404,1774576659412,7666770,3048078,4331628
6,0,220,1000,808,117,1774576663421,1774576663437,9499417,6374910,2532645
7,0,840,1000,693,232,1774576667422,1774576667437,13348675,8220996,4237944
8,0,104,929,561,314,1774576671419,1774576671435,14808201,8888961,5063554
9,0,117,655,459,148,1774576675415,1774576675427,4133984,1718831,2235434
10,0,180,1000,790,126,1774576679425,1774576679442,9391534,6115564,2625837
11,0,109,772,409,327,1774576683421,1774576683435,10696247,4789098,5485594
12,0,672,1000,707,208,1774576687429,1774576687444,17234701,11093941,4807001
13,0,899,1000,701,232,1774576691427,1774576691441,16748921,10163471,5604362
14,0,455,1000,701,231,1774576695431,1774576695447,10883087,5336545,5028912
15,0,107,961,648,254,1774576699429,1774576699443,15304773,7502528,7119109
16,0,454,1000,778,149,1774576703435,1774576703450,18839026,12091979,5612527
1,1,0,0,0,0,1774576707378,1774576707382,0,0,0
2,1,0,714,589,61,1774576711397,1774576711409,2088301,1722606,178488
3,1,344,1000,757,184,1774576715407,1774576715423,6911310,5227505,1276334
4,1,159,1000,631,305,1774576719405,1774576719420,10885293,6864180,3324926
5,1,420,1000,704,227,1774576723410,1774576723425,14855836,10454981,3376251
6,1,661,1000,627,299,1774576727415,1774576727432,18842355,11810301,5638284
7,1,870,1000,756,189,1774576731421,1774576731438,9285319,5430009,3482448
8,1,1067,1000,757,163,1774576735414,1774576735429,10850800,8138614,1852233
9,1,826,1000,836,90,1774576739418,1774576739434,14730825,12311979,1329042
10,1,81,1000,484,468,1774576743422,1774576743442,18728053,9057119,8772646
11,1,177,1000,752,170,1774576747421,1774576747437,9434136,5072185,3845877
12,1,166,1000,673,254,1774576751417,1774576751431,12380757,7127589,4480074
13,1,365,1000,688,239,1774576755421,1774576755438,15622788,10024438,4534653
14,1,473,1000,704,220,1774576759420,1774576759433,12828251,6846555,5262176
15,1,620,1000,684,248,1774576763417,1774576763431,9223559,4434903,4347794
16,1,0,895,585,262,1774576767413,1774576767427,10950023,6120282,4327625
17,1,0,990,716,193,1774576771417,1774576771430,15860743,10319352,4374089
1,2,0,532,216,295,1774576776124,1774576776132,49339542,19053897,28433188
2,2,2,676,518,106,1774576780133,1774576780142,12103543,1319636,10651434
3,2,213,1000,698,219,1774576784140,1774576784154,18306558,4568815,13194425
4,2,414,1000,713,211,1774576788148,1774576788161,16888916,7506477,8582403
5,2,579,1000,632,296,1774576792156,1774576792173,24478734,9175140,14258322
6,2,1,911,615,236,1774576796142,1774576796155,26965062,10931607,14956814
7,2,6,828,620,146,1774576800141,1774576800152,13243390,3951167,8897226
8,2,21,977,702,215,1774576804157,1774576804173,21051021,7280092,13148653
9,2,349,1000,712,213,1774576808162,1774576808180,20926099,10217729,9632068
10,2,499,1000,671,260,1774576812147,1774576812163,21464135,6541300,14092562
11,2,592,1000,713,208,1774576816149,1774576816161,18985432,4450362,14041952
12,2,874,1000,679,251,1774576820150,1774576820164,19621946,6938176,11968357
13,2,982,1000,733,163,1774576824151,1774576824166,14193594,10401061,2316799
14,2,807,1000,753,187,1774576828151,1774576828163,31956955,13669401,17198287
15,2,102,975,584,335,1774576832165,1774576832178,30918317,7784341,22358930
16,2,16,902,617,224,1774576836153,1774576836167,15884524,6197863,9073973
17,2,58,1000,716,198,1774576840155,1774576840169,17182423,10041653,5934743
1,3,0,2,0,2,1774576845274,1774576845278,176490,0,176490
2,3,38,909,786,29,1774576849297,1774576849309,2423191,2017731,164144
3,3,16,753,537,161,1774576853298,1774576853309,4929270,3512521,1057043
4,3,238,1000,716,228,1774576857301,1774576857316,10537362,7541391,2406198
5,3,609,1000,665,273,1774576861307,1774576861327,14529711,9656816,3972592
6,3,600,1000,642,279,1774576865306,1774576865322,18497714,11872408,5164492
7,3,1028,1000,678,259,1774576869308,1774576869326,10134995,5249145,4431990
8,3,258,1000,823,95,1774576873312,1774576873327,10421943,8577092,990206
9,3,25,820,400,376,1774576877311,1774576877324,11852279,5747500,5472651
10,3,128,1000,804,112,1774576881309,1774576881322,8455704,5817305,2059611
11,3,13,946,611,282,1774576885310,1774576885332,8128534,3844002,3951100
12,3,452,1000,678,234,1774576889317,1774576889338,11761734,6965164,3892483
13,3,381,1000,705,222,1774576893317,1774576893338,15691037,10046603,4604138
14,3,325,1000,708,219,1774576897308,1774576897328,15733050,9210497,5609562
15,3,13,905,575,273,1774576901309,1774576901329,10534565,3544108,6639155
16,3,312,483,235,228,1774576905300,1774576905310,8768104,2373882,6192168
17,3,183,1000,752,177,1774576909311,1774576909325,15430252,10605156,3823742
1,4,5,742,448,248,1774576914358,1774576914369,69914481,39513438,26343904
2,4,29,1000,771,141,1774576918366,1774576918380,27875900,1975109,25675508
3,4,18,963,608,310,1774576922368,1774576922383,22604883,3973937,18336877
4,4,242,1000,714,216,1774576926370,1774576926385,19364420,7509262,11118884
5,4,406,1000,705,235,1774576930371,1774576930388,25486285,10221270,14395161
6,4,989,1000,736,195,1774576934373,1774576934386,29843800,13601544,14967147
7,4,897,1000,860,48,1774576938372,1774576938386,8229711,6944069,565541
8,4,218,1000,620,328,1774576942371,1774576942385,24015895,6453885,17020717
9,4,177,1000,709,220,1774576946375,1774576946390,38002334,10178155,26805037
10,4,338,1000,704,227,1774576950378,1774576950393,19626438,3959880,15363719
11,4,258,1000,723,193,1774576954376,1774576954389,16790577,4535958,11727604
12,4,505,1000,695,230,1774576958379,1774576958396,20287497,7127037,12391430
13,4,8,950,642,231,1774576962378,1774576962391,27326794,9136819,17094083
14,4,0,202,0,202,1774576966359,1774576966365,17914188,0,17914188
15,4,0,93,0,93,1774576970354,1774576970360,13397091,0,13397091
16,4,0,55,0,55,1774576974354,1774576974358,9040611,0,9040611
17,4,0,113,0,113,1774576978355,1774576978361,19024269,0,19024269
18,4,0,75,0,75,1774576982356,1774576982361,11865847,0,11865847
19,4,0,76,0,76,1774576986357,1774576986362,12181382,0,12181382
20,4,0,90,0,90,1774576990361,1774576990367,14785215,0,14785215
21,4,0,102,0,102,1774576994366,1774576994373,17164507,0,17164507
22,4,0,111,0,111,1774576998364,1774576998371,19121945,0,19121945
23,4,0,93,0,93,1774577002368,1774577002378,16392527,0,16392527
24,4,0,72,0,72,1774577006361,1774577006367,12977197,0,12977197
25,4,0,106,0,106,1774577010360,1774577010364,19525686,0,19525686
26,4,0,40,0,40,1774577014359,1774577014367,7079812,0,7079812
27,4,0,94,0,94,1774577018364,1774577018370,9638186,0,9638186
28,4,0,81,0,81,1774577022364,1774577022370,8628002,0,8628002
29,4,0,107,0,107,1774577026369,1774577026380,11824430,0,11824430
30,4,0,90,0,90,1774577030366,1774577030373,10304008,0,10304008
31,4,0,54,0,54,1774577034363,1774577034370,5706752,0,5706752
32,4,0,95,0,95,1774577038363,1774577038368,10108242,0,10108242
