Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,8,286,178,85,1774576643355,1774576643366,1145380,712860,340336
2,0,1105,1000,684,247,1774576647376,1774576647400,8016374,5479135,1984506
3,0,827,1000,904,0,1774576651377,1774576651394,11991134,10840089,0
4,0,2080,1000,510,441,1774576655376,1774576655393,15971488,8140939,7048457
5,0,5027,1000,916,0,1774576659379,1774576659395,19944084,18268804,0
6,0,5291,1000,897,0,1774576663379,1774576663395,23929306,21464656,0
7,0,5075,1000,732,189,1774576667380,1774576667396,15322935,9085901,5281967
8,0,7881,1000,878,0,1774576671381,1774576671397,15880872,13943433,0
9,0,9636,1000,909,0,1774576675383,1774576675399,19876519,18067743,0
10,0,8910,1000,906,0,1774576679381,1774576679399,23868479,21624850,0
11,0,9938,1000,874,45,1774576683383,1774576683401,28024632,24337834,1431325
12,0,9542,1000,655,284,1774576687387,1774576687405,31833066,20846657,9045070
13,0,10114,1000,731,180,1774576691386,1774576691404,35809376,26173970,6448678
14,0,12365,1000,900,0,1774576695386,1774576695400,39795104,35815576,0
15,0,14275,1000,903,0,1774576699386,1774576699405,43792564,39544680,0
16,0,13769,1000,816,70,1774576703389,1774576703408,46940499,38225543,3347294
1,1,0,0,0,0,1774576707491,1774576707497,0,0,0
2,1,16,773,583,131,1774576711511,1774576711526,2348310,1770426,398703
3,1,150,1000,820,106,1774576715518,1774576715535,7029111,5761436,747538
4,1,1284,1000,652,263,1774576719520,1774576719537,10993071,7162640,2896662
5,1,878,1000,913,0,1774576723522,1774576723538,14973770,13671056,0
6,1,1519,1000,460,494,1774576727520,1774576727534,18960079,8718235,9370105
7,1,1746,1000,906,0,1774576731529,1774576731547,8681667,7920693,0
8,1,1480,1000,740,204,1774576735527,1774576735544,13352495,8049112,4694376
9,1,2743,1000,674,253,1774576739534,1774576739554,14900376,10016863,3798583
10,1,5654,1000,648,291,1774576743531,1774576743550,18839715,12204291,5486738
11,1,5849,1000,914,0,1774576747530,1774576747548,22812832,20850880,0
12,1,6270,1000,667,242,1774576751529,1774576751545,26806736,17874922,6493107
13,1,6596,1000,901,0,1774576755527,1774576755542,27390405,24678956,0
14,1,6933,1000,885,0,1774576759527,1774576759541,18745486,16589789,0
15,1,7424,1000,906,0,1774576763527,1774576763542,22739576,20602058,0
16,1,10307,1000,793,133,1774576767530,1774576767545,28859903,21202689,5678677
17,1,10810,1000,734,201,1774576771531,1774576771546,30727678,22554830,6175347
1,2,12950,1000,911,0,1774576776197,1774576776211,104548302,95243516,0
2,2,13338,1000,920,0,1774576780200,1774576780214,108543551,99860079,0
3,2,13664,1000,669,267,1774576784203,1774576784216,112531430,75285687,30043384
4,2,13785,1000,829,89,1774576788211,1774576788229,116507082,96582271,10371435
5,2,14321,1000,783,123,1774576792213,1774576792231,120494439,94345612,14822632
6,2,17051,1000,658,279,1774576796215,1774576796228,119610216,77437465,34732558
7,2,18141,1000,920,0,1774576800205,1774576800217,112397950,103406081,0
8,2,18705,1000,650,263,1774576804223,1774576804240,118440279,75656485,32657491
9,2,18632,1000,902,0,1774576808223,1774576808240,120387573,108589629,0
10,2,19098,1000,872,0,1774576812211,1774576812226,124364969,108446276,0
11,2,19426,1000,740,190,1774576816213,1774576816229,129171114,94987669,25198118
12,2,19700,1000,909,0,1774576820216,1774576820230,132356863,120312391,0
13,2,20234,1000,909,0,1774576824213,1774576824228,136341362,123934286,0
14,2,21263,1000,450,515,1774576828212,1774576828225,135844117,59289952,72270540
15,2,23287,1000,914,0,1774576832211,1774576832224,54636611,49937869,0
16,2,23751,1000,752,181,1774576836210,1774576836226,58616049,44076463,10612757
17,2,24518,1000,699,238,1774576840220,1774576840232,62610953,43762438,14904267
1,3,0,9,0,9,1774576845279,1774576845286,794265,0,794265
2,3,15,158,118,29,1774576849283,1774576849290,1120246,300643,791589
3,3,1150,1000,676,247,1774576853309,1774576853327,6575097,4442394,1626693
4,3,1461,1000,902,0,1774576857307,1774576857321,10557055,9522509,0
5,3,1123,1000,715,200,1774576861308,1774576861328,14539515,10391763,2912307
6,3,1537,1000,693,242,1774576865310,1774576865329,18527774,12836696,4487001
7,3,1110,1000,693,235,1774576869312,1774576869327,11025800,5206709,5290652
8,3,4064,1000,682,259,1774576873314,1774576873329,12410936,7116410,4678963
9,3,5994,1000,691,209,1774576877324,1774576877342,14509067,9966724,3099966
10,3,5859,1000,900,0,1774576881318,1774576881333,18408903,16568017,0
11,3,6798,1000,884,0,1774576885316,1774576885335,22404618,19805710,0
12,3,6627,1000,880,25,1774576889315,1774576889333,26396819,23228452,660770
13,3,7351,1000,789,138,1774576893316,1774576893334,30395322,23978140,4198693
14,3,8009,1000,907,0,1774576897319,1774576897336,34385422,31187574,0
15,3,10123,1000,841,75,1774576901319,1774576901337,38378717,32276384,2878495
16,3,11248,1000,663,265,1774576905321,1774576905339,32550542,22058825,8163121
17,3,11977,1000,906,0,1774576909330,1774576909344,30310148,27461002,0
1,4,23708,1000,693,232,1774576914424,1774576914436,136796754,94798855,31738146
2,4,23074,1000,906,0,1774576918427,1774576918440,140769443,127537109,0
3,4,23683,1000,701,210,1774576922432,1774576922447,144769614,101479950,30405663
4,4,24225,1000,894,0,1774576926430,1774576926442,133786814,119558927,0
5,4,24437,1000,894,0,1774576930433,1774576930447,136708780,122217673,0
6,4,24214,1000,836,68,1774576934433,1774576934445,141754955,117619988,10628327
7,4,25115,1000,869,51,1774576938433,1774576938446,145441442,125731431,8135204
8,4,27934,1000,906,23,1774576942431,1774576942446,148674513,134698988,3419400
9,4,28518,1000,798,141,1774576946436,1774576946448,152649296,121811673,21526284
10,4,28821,1000,713,228,1774576950440,1774576950453,156641872,111683948,35716224
11,4,29496,1000,655,276,1774576954436,1774576954451,160608630,105195803,44331111
12,4,29699,1000,844,80,1774576958441,1774576958453,157199016,132709298,12365458
13,4,29048,1000,819,98,1774576962446,1774576962459,153292022,124911938,15721156
14,4,28065,1000,653,275,1774576966440,1774576966454,156505737,102192410,43045688
15,4,27065,1000,701,209,1774576970440,1774576970456,160479886,112491314,33545670
16,4,26065,1000,911,0,1774576974440,1774576974455,164449829,149813772,0
17,4,25065,1000,744,171,1774576978440,1774576978452,156654075,114845642,28808222
18,4,24065,1000,760,156,1774576982439,1774576982451,158828021,118841231,26851719
19,4,23065,1000,861,15,1774576986443,1774576986456,160433696,138077993,2469948
20,4,22065,1000,905,0,1774576990441,1774576990455,164360837,148746549,0
21,4,21065,1000,908,0,1774576994458,1774576994473,168371895,152881675,0
22,4,20065,1000,791,129,1774576998456,1774576998472,173423036,136335945,23298355
23,4,19065,1000,731,198,1774577002461,1774577002479,176351677,128911324,34919558
24,4,18065,1000,794,120,1774577006465,1774577006480,180322377,143174296,21640547
25,4,17065,1000,546,401,1774577010446,1774577010457,165719687,91568338,65459752
26,4,16065,1000,835,74,1774577014467,1774577014483,98648089,82370084,7301147
27,4,15065,1000,697,226,1774577018469,1774577018486,102635309,71536011,23196536
28,4,14065,1000,881,16,1774577022467,1774577022482,106609974,93923253,1705847
29,4,13065,1000,714,225,1774577026470,1774577026487,110606410,78970316,24889302
30,4,12065,1000,708,243,1774577030466,1774577030487,106271926,73580767,27766951
31,4,11065,1000,716,214,1774577034468,1774577034485,104576723,73404166,23996133
32,4,10065,1000,760,145,1774577038451,1774577038465,106613372,80926316,15571441
33,4,9065,1000,796,115,1774577042448,1774577042462,110474277,87935525,12706775
34,4,8065,1000,890,0,1774577046448,1774577046461,114464214,101873172,0
35,4,7065,1000,899,0,1774577050451,1774577050465,118459287,106494876,0
36,4,6065,1000,810,102,1774577054453,1774577054465,122454691,99185600,12493360
37,4,5065,1000,905,0,1774577058455,1774577058470,126446080,114433788,0
38,4,4065,1000,715,209,1774577062450,1774577062465,130416913,93246119,27259298
39,4,3065,1000,722,207,1774577066457,1774577066472,125204357,91478186,24840573
40,4,2065,1000,900,0,1774577070450,1774577070466,122337570,110103776,0
41,4,1065,1000,642,279,1774577074464,1774577074488,126354773,81115942,35257261
42,4,65,1000,631,320,1774577078459,1774577078472,130315920,82227022,41703670
43,4,0,65,0,65,1774577082431,1774577082435,8727713,0,8727713
44,4,0,0,0,0,1774577086425,1774577086428,0,0,0
45,4,0,0,0,0,1774577090426,1774577090430,0,0,0
46,4,0,0,0,0,1774577094427,1774577094431,0,0,0
