Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
7,4,5,467,116,341,1774576938372,1774576938379,19379906,743016,18572833
8,4,31,355,17,337,1774576942368,1774576942376,17155993,176234,16969383
9,4,3,303,103,186,1774576946364,1774576946372,16102128,1476620,14424863
10,4,6,401,112,278,1774576950370,1774576950378,17672132,367411,17263596
11,4,25,377,77,294,1774576954373,1774576954383,15143224,481917,14623763
12,4,9,400,82,308,1774576958376,1774576958387,14286622,839330,13344914
13,4,3,311,25,285,1774576962370,1774576962376,16898603,355263,16529130
14,4,0,283,0,283,1774576966371,1774576966379,19116484,0,19116484
15,4,0,73,0,73,1774576970362,1774576970367,9636851,0,9636851
16,4,0,63,0,63,1774576974364,1774576974368,10356065,0,10356065
17,4,0,89,0,89,1774576978366,1774576978370,14984512,0,14984512
18,4,0,96,0,96,1774576982365,1774576982369,15469925,0,15469925
19,4,0,84,0,84,1774576986366,1774576986370,13464276,0,13464276
20,4,0,102,0,102,1774576990372,1774576990378,16757620,0,16757620
21,4,0,94,0,94,1774576994373,1774576994379,15818768,0,15818768
22,4,0,113,0,113,1774576998374,1774576998380,19467511,0,19467511
23,4,0,83,0,83,1774577002372,1774577002378,14629985,0,14629985
24,4,0,69,0,69,1774577006374,1774577006379,12437276,0,12437276
25,4,0,92,0,92,1774577010371,1774577010375,16947782,0,16947782
26,4,0,62,0,62,1774577014376,1774577014380,10503863,0,10503863
27,4,0,92,0,92,1774577018377,1774577018383,9434350,0,9434350
28,4,0,71,0,71,1774577022377,1774577022383,7563806,0,7563806
29,4,0,84,0,84,1774577026376,1774577026383,9282848,0,9282848
30,4,0,72,0,72,1774577030373,1774577030382,8243869,0,8243869
31,4,0,98,0,98,1774577034375,1774577034381,10615696,0,10615696
32,4,0,84,0,84,1774577038372,1774577038377,8938575,0,8938575
33,4,0,89,0,89,1774577042374,1774577042378,9825176,0,9825176
34,4,0,78,0,78,1774577046377,1774577046381,8922466,0,8922466
35,4,0,94,0,94,1774577050377,1774577050381,11128094,0,11128094
36,4,0,102,0,102,1774577054383,1774577054387,12482935,0,12482935
37,4,0,80,0,80,1774577058379,1774577058383,10109535,0,10109535
38,4,0,114,0,114,1774577062380,1774577062385,14861210,0,14861210
39,4,0,72,0,72,1774577066376,1774577066382,9671836,0,9671836
40,4,0,61,0,61,1774577070378,1774577070383,8004411,0,8004411
41,4,0,113,0,113,1774577074385,1774577074391,14267699,0,14267699
42,4,0,54,0,54,1774577078378,1774577078383,7033181,0,7033181
43,4,0,85,0,85,1774577082377,1774577082381,11408914,0,11408914
44,4,0,0,0,0,1774577086374,1774577086378,0,0,0
45,4,0,0,0,0,1774577090375,1774577090379,0,0,0
46,4,0,0,0,0,1774577094375,1774577094379,0,0,0
