Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,13,311,216,72,1774576643369,1774576643379,1249074,867485,289194
2,0,0,405,146,250,1774576647372,1774576647383,3242058,1166621,2003517
3,0,12,494,229,249,1774576651374,1774576651384,5914630,2738620,2984658
4,0,2,507,170,323,1774576655376,1774576655387,8089044,2708707,5157199
5,0,0,170,19,149,1774576659367,1774576659373,3034454,73191,2953566
6,0,9,497,295,173,1774576663378,1774576663390,5732281,2313380,3191591
7,0,9,621,315,280,1774576667382,1774576667394,9015987,3721491,4987343
8,0,0,259,31,227,1774576671373,1774576671381,4129774,488817,3625198
9,0,7,273,99,168,1774576675376,1774576675383,3350982,366613,2962147
10,0,20,454,188,246,1774576679380,1774576679394,5095703,1446164,3495648
11,0,37,511,109,391,1774576683384,1774576683397,7735851,1271751,6335676
12,0,23,554,245,290,1774576687387,1774576687402,9953408,3832844,5823313
13,0,9,510,194,298,1774576691384,1774576691399,7344318,692770,6587309
14,0,8,380,99,278,1774576695381,1774576695388,7862078,746825,7092613
15,0,7,378,91,283,1774576699382,1774576699390,8051057,1047265,6957755
16,0,10,530,223,285,1774576703390,1774576703404,11513388,3455534,7716983
1,1,0,0,0,0,1774576707508,1774576707511,0,0,0
2,1,0,291,159,112,1774576711515,1774576711523,884650,483407,340470
3,1,0,470,163,296,1774576715520,1774576715530,3300283,1142821,2080337
4,1,0,417,123,281,1774576719521,1774576719532,4585959,1351048,3092124
5,1,93,557,254,288,1774576723528,1774576723538,8336110,3798620,4313144
6,1,40,472,172,285,1774576727530,1774576727541,6376647,1282949,4986190
7,1,101,478,206,249,1774576731538,1774576731550,5136878,1416254,3562522
8,1,67,583,206,356,1774576735535,1774576735546,6605005,2233081,4144310
9,1,0,430,146,273,1774576739534,1774576739546,6380547,2163028,4054554
10,1,0,256,24,226,1774576743529,1774576743536,4288873,113837,4158640
11,1,0,476,169,296,1774576747537,1774576747548,5599952,1136337,4389634
12,1,0,453,151,290,1774576751534,1774576751544,6330920,1615280,4587260
13,1,113,504,187,297,1774576755535,1774576755545,8978560,2743197,5941955
14,1,104,484,183,290,1774576759539,1774576759549,6412003,605895,5761346
15,1,96,484,153,317,1774576763541,1774576763549,6173769,1008166,5073366
16,1,0,277,24,252,1774576767530,1774576767538,4482169,253211,4218414
17,1,71,489,178,296,1774576771539,1774576771549,8586155,2586612,5781601
1,2,0,294,0,294,1774576776184,1774576776190,29119853,0,29119853
2,2,5,374,121,242,1774576780191,1774576780197,11990463,315120,11646675
3,2,30,466,174,272,1774576784194,1774576784201,14195249,1146483,12916965
4,2,100,424,182,230,1774576788200,1774576788209,12005415,1923175,9955517
5,2,22,518,168,340,1774576792204,1774576792214,17286956,2443862,14697643
6,2,3,280,43,234,1774576796195,1774576796201,14101569,475122,13603028
7,2,17,338,108,217,1774576800197,1774576800204,11965878,694136,11188184
8,2,112,355,171,169,1774576804210,1774576804218,12282564,1781043,10345265
9,2,124,528,213,296,1774576808213,1774576808226,16611961,3065291,13273161
10,2,17,554,156,382,1774576812205,1774576812215,17356768,536358,16751409
11,2,26,555,204,327,1774576816208,1774576816218,15469428,1281660,14037070
12,2,174,642,174,399,1774576820211,1774576820223,16476415,1783891,13985402
13,2,22,755,224,521,1774576824213,1774576824225,24547490,3184504,21220857
14,2,24,412,111,288,1774576828211,1774576828221,16599807,848143,15659543
15,2,81,204,18,184,1774576832197,1774576832202,7409867,109941,7287724
16,2,105,511,213,278,1774576836207,1774576836215,9526937,2150388,7174659
17,2,108,523,187,314,1774576840218,1774576840230,11493141,2633662,8549567
1,3,0,0,0,0,1774576845237,1774576845240,0,0,0
2,3,4,195,175,2,1774576849242,1774576849250,668321,438826,184436
3,3,0,391,123,251,1774576853247,1774576853254,2542719,797780,1634622
4,3,0,497,206,278,1774576857250,1774576857261,5212584,2158034,2918386
5,3,0,557,227,313,1774576861255,1774576861263,8058784,3279154,4533982
6,3,0,531,186,325,1774576865257,1774576865267,7452401,1310175,5998198
7,3,0,586,275,288,1774576869257,1774576869265,7235203,1749491,5339376
8,3,0,317,34,282,1774576873255,1774576873261,3414462,351298,3052831
9,3,7,333,98,227,1774576877256,1774576877265,4776622,1402204,3259900
10,3,0,406,212,181,1774576881254,1774576881264,5106663,1679960,3317254
11,3,0,495,145,341,1774576885258,1774576885267,5566473,902690,4607722
12,3,5,584,250,315,1774576889263,1774576889273,7627942,2550924,4883169
13,3,0,465,171,280,1774576893260,1774576893268,8195135,2423064,5573705
14,3,36,402,124,272,1774576897260,1774576897267,7507526,1064388,6382307
15,3,0,413,92,313,1774576901261,1774576901267,8102076,561147,7492158
16,3,0,365,97,255,1774576905260,1774576905269,6903292,976010,5796470
17,3,0,368,142,214,1774576909259,1774576909266,7061577,1994311,4898715
1,4,0,114,0,114,1774576914398,1774576914404,20842862,0,20842862
2,4,47,498,181,296,1774576918408,1774576918417,13771963,470555,13246869
3,4,12,451,160,282,1774576922408,1774576922416,14985814,1051083,13875582
4,4,24,503,160,332,1774576926414,1774576926421,19818836,1688257,18014517
5,4,139,728,174,495,1774576930418,1774576930429,23644345,2529029,20257754
6,4,34,658,200,432,1774576934424,1774576934435,21450032,1202382,20134996
7,4,23,516,171,332,1774576938417,1774576938425,16012909,1103006,14826097
8,4,2,265,22,242,1774576942410,1774576942417,17278191,229163,17038614
9,4,36,393,145,224,1774576946414,1774576946424,14780229,2086049,12348842
10,4,16,475,182,282,1774576950417,1774576950428,13127392,600272,12485464
11,4,13,401,129,260,1774576954417,1774576954428,14566296,813341,13677276
12,4,29,486,163,305,1774576958423,1774576958431,17498244,1675703,15637539
13,4,17,301,40,254,1774576962413,1774576962426,15736381,570429,15066130
14,4,0,128,0,128,1774576966413,1774576966418,14223629,0,14223629
15,4,0,73,0,73,1774576970409,1774576970413,11713251,0,11713251
16,4,0,117,0,117,1774576974409,1774576974414,19238504,0,19238504
17,4,0,96,0,96,1774576978410,1774576978414,16167264,0,16167264
18,4,0,87,0,87,1774576982412,1774576982416,13649777,0,13649777
19,4,0,92,0,92,1774576986411,1774576986416,14750810,0,14750810
20,4,0,97,0,97,1774576990414,1774576990419,15940139,0,15940139
21,4,0,99,0,99,1774576994419,1774576994426,16664884,0,16664884
22,4,0,105,0,105,1774576998417,1774576998422,18093723,0,18093723
23,4,0,79,0,79,1774577002416,1774577002421,13928323,0,13928323
24,4,0,70,0,70,1774577006416,1774577006421,12620340,0,12620340
25,4,0,76,0,76,1774577010414,1774577010418,14003656,0,14003656
26,4,0,55,0,55,1774577014415,1774577014421,9816133,0,9816133
27,4,0,90,0,90,1774577018419,1774577018424,9232926,0,9232926
28,4,0,70,0,70,1774577022418,1774577022424,7460121,0,7460121
29,4,0,114,0,114,1774577026424,1774577026430,12603771,0,12603771
30,4,0,63,0,63,1774577030419,1774577030425,7216056,0,7216056
31,4,0,122,0,122,1774577034420,1774577034426,13593350,0,13593350
32,4,0,80,0,80,1774577038418,1774577038422,8516440,0,8516440
33,4,0,110,0,110,1774577042421,1774577042426,12148756,0,12148756
34,4,0,94,0,94,1774577046419,1774577046423,10756635,0,10756635
35,4,0,102,0,102,1774577050419,1774577050423,12079474,0,12079474
36,4,0,103,0,103,1774577054422,1774577054429,12609606,0,12609606
37,4,0,103,0,103,1774577058419,1774577058424,13020289,0,13020289
38,4,0,87,0,87,1774577062418,1774577062422,11344621,0,11344621
39,4,0,72,0,72,1774577066420,1774577066424,9674918,0,9674918
40,4,0,73,0,73,1774577070418,1774577070423,9635237,0,9635237
41,4,0,94,0,94,1774577074421,1774577074427,11872083,0,11872083
42,4,0,68,0,68,1774577078419,1774577078423,8859364,0,8859364
43,4,0,112,0,112,1774577082421,1774577082425,15037763,0,15037763
44,4,0,0,0,0,1774577086416,1774577086420,0,0,0
45,4,0,0,0,0,1774577090416,1774577090422,0,0,0
46,4,0,0,0,0,1774577094417,1774577094422,0,0,0
