Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,2,0,17,0,17,1774576776162,1774576776166,1500193,0,1500193
2,2,0,394,131,254,1774576780168,1774576780176,14470494,338327,14108932
3,2,77,406,180,201,1774576784172,1774576784181,13473879,1182537,12127145
4,2,83,478,130,328,1774576788181,1774576788195,13525997,1372217,11942720
5,2,138,414,133,257,1774576792184,1774576792196,15659393,1932232,13378511
6,2,65,369,25,337,1774576796176,1774576796186,16357446,253829,16022246
7,2,0,407,111,283,1774576800179,1774576800188,11561748,711722,10766721
8,2,148,363,187,158,1774576804182,1774576804193,13416679,1942833,11286805
9,2,149,577,241,309,1774576808197,1774576808210,15509008,3464754,11656000
10,2,69,526,137,374,1774576812183,1774576812192,16625595,521634,16021533
11,2,69,503,161,328,1774576816184,1774576816196,15340964,1008158,14245178
12,2,77,537,201,310,1774576820190,1774576820203,17589380,2056326,15266943
13,2,79,449,151,289,1774576824186,1774576824197,17370637,2142240,15100764
14,2,76,458,116,333,1774576828187,1774576828195,20354882,952275,19351405
15,2,130,198,26,168,1774576832182,1774576832189,9320674,158470,9137799
16,2,126,550,221,312,1774576836191,1774576836203,11059291,2228398,8659459
17,2,69,498,169,319,1774576840190,1774576840202,11953294,2375522,9437223
1,3,0,1,0,1,1774576845279,1774576845284,88251,0,88251
2,3,65,196,150,34,1774576849286,1774576849293,768831,382503,355732
3,3,9,394,100,282,1774576853290,1774576853297,2579507,653149,1848005
4,3,8,444,159,268,1774576857291,1774576857299,4673477,1671351,2823425
5,3,0,573,220,330,1774576861299,1774576861309,8315434,3188037,4794137
6,3,0,546,176,350,1774576865298,1774576865308,7463212,1148959,6169468
7,3,38,653,278,336,1774576869305,1774576869316,7582161,1782679,5549377
8,3,3,357,30,324,1774576873300,1774576873308,3910395,311361,3567893
9,3,13,395,117,265,1774576877300,1774576877310,5682905,1679545,3816766
10,3,0,397,195,191,1774576881298,1774576881306,4604941,1329030,3218612
11,3,13,475,101,359,1774576885305,1774576885313,5286884,633576,4559238
12,3,24,489,149,321,1774576889311,1774576889323,6521103,1527956,4798371
13,3,14,544,187,343,1774576893306,1774576893317,9600925,2659034,6742847
14,3,26,495,190,281,1774576897307,1774576897318,8226784,1566141,6480398
15,3,10,433,84,337,1774576901309,1774576901321,8248782,516523,7658489
16,3,37,488,217,256,1774576905310,1774576905320,7793631,2193564,5448438
17,3,21,551,281,250,1774576909312,1774576909322,9612278,3960412,5370068
1,4,2,337,0,337,1774576914358,1774576914366,79062074,0,79062074
2,4,26,359,150,202,1774576918364,1774576918370,32615131,382921,32214328
3,4,22,489,132,346,1774576922366,1774576922378,16604462,862047,15670550
4,4,20,473,146,316,1774576926366,1774576926376,16583203,1533794,14933824
5,4,16,645,314,312,1774576930373,1774576930385,21023325,4550742,16197273
6,4,53,479,169,281,1774576934371,1774576934381,18035143,955950,16800199
7,4,125,690,229,434,1774576938377,1774576938388,21321991,1468514,19680337
8,4,35,398,27,366,1774576942368,1774576942376,19537798,280044,19205858
9,4,26,394,170,206,1774576946370,1774576946377,18376695,2437885,15680693
10,4,30,471,152,297,1774576950372,1774576950381,17543875,523698,16921895
11,4,14,459,147,301,1774576954371,1774576954379,16098177,919527,15109820
12,4,21,500,164,321,1774576958379,1774576958390,18243224,1679077,16410505
13,4,6,393,63,325,1774576962378,1774576962388,20052684,896018,19085553
14,4,0,238,0,238,1774576966370,1774576966376,16775361,0,16775361
15,4,0,108,0,108,1774576970365,1774576970369,14698524,0,14698524
16,4,0,76,0,76,1774576974364,1774576974369,12493302,0,12493302
17,4,0,93,0,93,1774576978366,1774576978370,15657961,0,15657961
18,4,0,68,0,68,1774576982365,1774576982369,10724256,0,10724256
19,4,0,81,0,81,1774576986368,1774576986372,12983599,0,12983599
20,4,0,90,0,90,1774576990371,1774576990377,14786140,0,14786140
21,4,0,117,0,117,1774576994376,1774576994382,19689701,0,19689701
22,4,0,98,0,98,1774576998371,1774576998377,16883088,0,16883088
23,4,0,86,0,86,1774577002373,1774577002379,15158949,0,15158949
24,4,0,92,0,92,1774577006373,1774577006378,16582627,0,16582627
25,4,0,89,0,89,1774577010369,1774577010374,16395101,0,16395101
26,4,0,61,0,61,1774577014373,1774577014379,9598282,0,9598282
27,4,0,106,0,106,1774577018380,1774577018386,10870341,0,10870341
28,4,0,94,0,94,1774577022376,1774577022382,10013756,0,10013756
29,4,0,96,0,96,1774577026377,1774577026384,10609176,0,10609176
30,4,0,60,0,60,1774577030373,1774577030380,6869724,0,6869724
31,4,0,86,0,86,1774577034379,1774577034384,9177999,0,9177999
32,4,0,64,0,64,1774577038375,1774577038379,6810457,0,6810457
33,4,0,88,0,88,1774577042375,1774577042380,9714925,0,9714925
34,4,0,89,0,89,1774577046376,1774577046380,10180658,0,10180658
35,4,0,101,0,101,1774577050376,1774577050381,11956725,0,11956725
36,4,0,98,0,98,1774577054377,1774577054382,11992807,0,11992807
37,4,0,106,0,106,1774577058377,1774577058381,13394992,0,13394992
38,4,0,100,0,100,1774577062380,1774577062384,13035966,0,13035966
39,4,0,89,0,89,1774577066377,1774577066384,11955599,0,11955599
40,4,0,100,0,100,1774577070379,1774577070384,12933898,0,12933898
41,4,0,91,0,91,1774577074382,1774577074387,11489559,0,11489559
42,4,0,88,0,88,1774577078380,1774577078384,11461523,0,11461523
43,4,0,64,0,64,1774577082379,1774577082383,8590259,0,8590259
44,4,0,0,0,0,1774577086376,1774577086379,0,0,0
45,4,0,0,0,0,1774577090377,1774577090380,0,0,0
46,4,0,0,0,0,1774577094377,1774577094381,0,0,0
