Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,46,569,525,0,1774576643317,1774576643330,2257636,2083189,0
2,0,10,524,213,295,1774576647315,1774576647326,4164907,1689515,2348505
3,0,25,659,392,235,1774576651319,1774576651331,7853049,4666675,2805363
4,0,17,622,274,323,1774576655319,1774576655332,9888198,4350525,5140722
5,0,0,226,24,201,1774576659310,1774576659316,4089209,91042,3994366
6,0,53,518,383,114,1774576663319,1774576663329,5800969,2979951,2657667
7,0,46,742,409,282,1774576667326,1774576667340,10085903,4810036,4676166
8,0,4,365,54,305,1774576671316,1774576671323,5766073,848527,4823264
9,0,9,378,183,180,1774576675318,1774576675326,4280131,667034,3558413
10,0,23,540,290,228,1774576679326,1774576679336,6163584,2214193,3781361
11,0,11,477,120,344,1774576683325,1774576683335,7082655,1392741,5539057
12,0,18,552,226,313,1774576687328,1774576687339,10067030,3520943,6343544
13,0,14,615,266,323,1774576691330,1774576691342,8552059,934711,7525949
14,0,11,451,135,306,1774576695326,1774576695335,8067565,1011248,6981404
15,0,8,389,126,250,1774576699324,1774576699331,7928427,1442779,6336814
16,0,37,678,380,266,1774576703334,1774576703346,13703573,5865935,7343625
1,1,0,0,0,0,1774576707318,1774576707321,0,0,0
2,1,6,257,220,14,1774576711326,1774576711332,732276,626960,39831
3,1,29,505,219,260,1774576715333,1774576715343,3455102,1494654,1783016
4,1,11,518,178,326,1774576719333,1774576719343,5601795,1921545,3529104
5,1,23,571,262,286,1774576723339,1774576723348,8441249,3868977,4232605
6,1,18,574,176,364,1774576727344,1774576727356,8414869,1294027,6836377
7,1,13,461,215,228,1774576731343,1774576731355,5798324,1435997,4242144
8,1,34,686,307,339,1774576735348,1774576735358,7563774,3270029,3867656
9,1,20,506,147,342,1774576739344,1774576739357,7416548,2150108,5017800
10,1,3,319,27,286,1774576743341,1774576743349,5591950,213267,5331270
11,1,27,393,163,214,1774576747342,1774576747350,5801431,1063952,4633006
12,1,17,486,159,305,1774576751344,1774576751352,6770263,1670763,4868368
13,1,15,525,186,323,1774576755347,1774576755357,8788570,2693516,5863367
14,1,13,518,189,311,1774576759344,1774576759354,7797013,649059,7072406
15,1,10,557,211,322,1774576763347,1774576763358,7127617,1350193,5623870
16,1,5,397,29,364,1774576767345,1774576767354,6098814,300504,5756822
17,1,21,488,222,236,1774576771344,1774576771354,8527247,3182496,4914643
