Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,531,1000,855,25,1774576643430,1774576643450,4083619,3490878,102418
2,0,393,1000,409,531,1774576647429,1774576647445,8068529,3292261,4293088
3,0,846,1000,595,320,1774576651431,1774576651447,12038554,7157798,3858386
4,0,263,1000,391,570,1774576655431,1774576655447,16017638,6258877,9134368
5,0,23,422,24,396,1774576659419,1774576659427,7982859,93837,7881206
6,0,158,852,115,654,1774576663431,1774576663446,8628901,908258,7064852
7,0,125,635,211,399,1774576667426,1774576667438,7622264,2502126,4823644
8,0,0,264,24,236,1774576671417,1774576671423,4187639,379375,3745024
9,0,0,302,69,225,1774576675419,1774576675426,3663720,258443,3375348
10,0,1186,1000,845,62,1774576679438,1774576679452,7757922,6554755,481736
11,0,1339,1000,811,108,1774576683437,1774576683452,11954700,9523792,1479711
12,0,1736,1000,743,186,1774576687443,1774576687458,17174020,11687327,4369879
13,0,1563,1000,645,283,1774576691441,1774576691456,22478855,12710309,8349704
14,0,877,1000,645,286,1774576695447,1774576695462,20543222,11477963,7863740
15,0,381,1000,447,501,1774576699456,1774576699471,18978137,5196513,13177207
16,0,903,1000,706,215,1774576703445,1774576703461,18956441,10987958,6738981
1,1,0,0,0,0,1774576707546,1774576707549,0,0,0
2,1,0,974,712,186,1774576711569,1774576711584,3019317,2207472,576144
3,1,165,1000,798,116,1774576715574,1774576715588,7060974,5633561,820365
4,1,27,915,532,337,1774576719575,1774576719591,10111214,5875472,3727675
5,1,655,1000,890,27,1774576723577,1774576723592,15013226,13361197,405916
6,1,593,1000,635,305,1774576727582,1774576727598,18029242,11182901,5802507
7,1,795,1000,713,204,1774576731595,1774576731611,9312660,4955352,3780410
8,1,1238,1000,638,297,1774576735585,1774576735602,11149122,6964965,3474568
9,1,1164,1000,845,71,1774576739586,1774576739605,14897706,12587919,1058501
10,1,323,1000,633,306,1774576743586,1774576743601,18884336,11946934,5786063
11,1,667,1000,629,302,1774576747591,1774576747606,11535971,4347583,6720268
12,1,702,1000,676,255,1774576751584,1774576751599,12423135,7275702,4404944
13,1,1088,1000,678,253,1774576755583,1774576755598,15949909,9992808,4940187
14,1,1398,1000,745,178,1774576759590,1774576759605,19371607,13950175,3979685
15,1,1417,1000,828,88,1774576763587,1774576763601,8930779,5547556,2775538
16,1,691,1000,642,287,1774576767587,1774576767602,12956435,6835318,5365117
17,1,797,1000,548,406,1774576771598,1774576771611,17343870,8008911,8662486
1,2,0,0,0,0,1774576776128,1774576776132,0,0,0
2,2,60,656,500,126,1774576780143,1774576780153,13015088,1280072,11658156
3,2,278,1000,727,192,1774576784150,1774576784164,16304545,4766985,11006453
4,2,455,1000,693,231,1774576788168,1774576788187,19034472,7314413,10917797
5,2,606,1000,649,291,1774576792161,1774576792175,24905502,9424265,14609981
6,2,69,814,515,244,1774576796153,1774576796167,22379209,9284372,12093640
7,2,85,779,549,179,1774576800152,1774576800162,15454618,3504792,11624232
8,2,287,1000,677,254,1774576804172,1774576804193,24384824,7036001,16631753
9,2,552,1000,706,224,1774576808170,1774576808185,22098432,10136758,10956534
10,2,785,1000,613,314,1774576812161,1774576812173,26232709,7317282,17946774
11,2,925,1000,719,221,1774576816160,1774576816174,17967153,4499739,13091924
12,2,814,1000,704,224,1774576820163,1774576820176,13048414,7208460,5102776
13,2,869,1000,632,314,1774576824165,1774576824180,33993554,8982400,24243577
14,2,929,1000,685,237,1774576828163,1774576828175,30006001,12436005,16153815
15,2,81,1000,745,183,1774576832161,1774576832178,21123451,11319270,8867159
16,2,259,1000,695,219,1774576836165,1774576836181,18446578,6995814,10585064
17,2,489,1000,687,242,1774576840167,1774576840183,17686699,9648758,7040826
1,3,0,3,0,3,1774576845329,1774576845393,265084,0,265084
2,3,226,1000,897,2,1774576849355,1774576849370,2808546,2358428,184681
3,3,13,1000,574,372,1774576853356,1774576853368,6606790,3790046,2460237
4,3,291,1000,885,13,1774576857358,1774576857371,10585982,9368324,137964
5,3,617,1000,705,223,1774576861361,1774576861373,14567734,10264570,3254875
6,3,607,1000,624,308,1774576865361,1774576865375,14556290,7945974,5718336
7,3,911,1000,677,254,1774576869363,1774576869375,9458425,4390414,4620536
8,3,111,1000,563,375,1774576873363,1774576873378,10652102,5894951,4107939
9,3,96,300,88,198,1774576877348,1774576877357,4326535,1267374,2857565
10,3,670,1000,820,96,1774576881365,1774576881377,4998486,2980575,1771221
11,3,533,1000,636,303,1774576885366,1774576885380,9106383,4041671,4677163
12,3,996,1000,661,258,1774576889378,1774576889390,11899864,6830325,4232564
13,3,1108,1000,654,270,1774576893368,1774576893381,15697442,9358057,5251878
14,3,1126,1000,779,139,1774576897372,1774576897384,19398891,14243136,3656424
15,3,643,1000,674,249,1774576901378,1774576901390,12849023,7169580,4798437
16,3,332,1000,622,324,1774576905371,1774576905385,16048421,6341527,9156342
17,3,331,1000,736,184,1774576909367,1774576909382,15855659,10420300,4302760
