Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,4,53,903,561,293,1774576914366,1774576914378,206970753,127047735,68826136
2,4,202,1000,783,134,1774576918373,1774576918388,18315396,2015257,16086450
3,4,293,1000,640,286,1774576922372,1774576922386,21608555,4187905,16936460
4,4,368,1000,677,252,1774576926374,1774576926389,20339768,7126114,12466231
5,4,266,1000,662,280,1774576930374,1774576930392,28774369,9602109,18330916
6,4,445,1000,691,235,1774576934377,1774576934392,25069011,7078751,17296052
7,4,407,1000,680,254,1774576938381,1774576938398,19308911,4374473,14509981
8,4,2,600,322,249,1774576942366,1774576942376,17547166,3346194,13899485
9,4,187,1000,640,288,1774576946378,1774576946392,42012037,9186953,31791507
10,4,495,1000,610,314,1774576950379,1774576950395,28803861,2781824,25670847
11,4,480,1000,678,256,1774576954382,1774576954397,19113022,4261305,14436899
12,4,774,1000,690,246,1774576958385,1774576958401,21529424,7081487,13791137
13,4,248,1000,683,240,1774576962389,1774576962401,27312069,9730010,16485056
14,4,0,357,151,188,1774576966371,1774576966380,18251966,2750341,15173771
15,4,0,70,0,70,1774576970357,1774576970362,11228318,0,11228318
16,4,0,98,0,98,1774576974360,1774576974366,16109396,0,16109396
17,4,0,102,0,102,1774576978361,1774576978365,17172809,0,17172809
18,4,0,83,0,83,1774576982360,1774576982364,13116467,0,13116467
19,4,0,99,0,99,1774576986361,1774576986367,15868383,0,15868383
20,4,0,94,0,94,1774576990363,1774576990368,15442444,0,15442444
21,4,0,96,0,96,1774576994366,1774576994375,16154951,0,16154951
22,4,0,108,0,108,1774576998365,1774576998373,18605353,0,18605353
23,4,0,91,0,91,1774577002368,1774577002376,16039906,0,16039906
24,4,0,75,0,75,1774577006363,1774577006369,13517830,0,13517830
25,4,0,98,0,98,1774577010365,1774577010369,18052548,0,18052548
26,4,0,48,0,48,1774577014364,1774577014371,7958039,0,7958039
27,4,0,94,0,94,1774577018373,1774577018381,9639183,0,9639183
28,4,0,66,0,66,1774577022368,1774577022374,7030399,0,7030399
29,4,0,82,0,82,1774577026369,1774577026376,9061196,0,9061196
30,4,0,87,0,87,1774577030378,1774577030383,9961375,0,9961375
31,4,0,84,0,84,1774577034368,1774577034375,8859991,0,8859991
32,4,0,86,0,86,1774577038366,1774577038371,9150814,0,9150814
33,4,0,79,0,79,1774577042366,1774577042371,8720777,0,8720777
34,4,0,104,0,104,1774577046368,1774577046373,11895827,0,11895827
35,4,0,106,0,106,1774577050369,1774577050374,12547943,0,12547943
36,4,0,87,0,87,1774577054368,1774577054373,10645973,0,10645973
37,4,0,76,0,76,1774577058368,1774577058373,9603298,0,9603298
38,4,0,106,0,106,1774577062370,1774577062377,13817454,0,13817454
39,4,0,81,0,81,1774577066369,1774577066374,10880168,0,10880168
40,4,0,63,0,63,1774577070369,1774577070375,8216477,0,8216477
41,4,0,92,0,92,1774577074376,1774577074381,11615310,0,11615310
42,4,0,59,0,59,1774577078370,1774577078374,7683922,0,7683922
43,4,0,88,0,88,1774577082371,1774577082375,11810978,0,11810978
44,4,0,0,0,0,1774577086367,1774577086371,0,0,0
45,4,0,0,0,0,1774577090367,1774577090376,0,0,0
46,4,0,0,0,0,1774577094368,1774577094374,0,0,0
