Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
12,1,103,824,412,359,1774576751553,1774576751566,10478094,4415615,5494447
13,1,119,422,85,328,1774576755542,1774576755553,7472155,1247578,6092456
14,1,134,465,108,341,1774576759548,1774576759556,6300072,330797,5879268
15,1,131,572,135,412,1774576763552,1774576763561,6937622,890964,5881778
16,1,94,380,13,358,1774576767547,1774576767554,5737483,137386,5505041
17,1,124,479,101,362,1774576771547,1774576771555,8297443,1468325,6596491
1,2,0,0,0,0,1774576776092,1774576776095,0,0,0
2,2,9,205,73,123,1774576780096,1774576780102,13121210,183216,12915401
3,2,0,392,92,280,1774576784100,1774576784109,13568112,597870,12840309
4,2,11,850,398,390,1774576788120,1774576788134,18573863,4178834,13744111
5,2,13,507,112,378,1774576792114,1774576792125,16767510,1619081,14902705
6,2,0,356,17,331,1774576796106,1774576796113,16586017,136648,16382205
7,2,21,350,85,244,1774576800106,1774576800113,11888024,538505,11216399
8,2,8,522,103,399,1774576804119,1774576804130,18116620,1063637,16846499
9,2,14,507,115,368,1774576808119,1774576808129,16159969,1644165,14172707
10,2,7,512,97,404,1774576812113,1774576812121,18916504,375178,18516967
11,2,20,803,403,343,1774576816124,1774576816135,19523589,2497637,16672661
12,2,11,495,143,336,1774576820114,1774576820121,14315922,1451104,12702435
13,2,18,494,124,354,1774576824119,1774576824126,18834650,1750434,16858345
14,2,0,470,75,379,1774576828114,1774576828123,19793255,490787,19205480
15,2,2,336,16,317,1774576832112,1774576832119,13575415,96395,13460920
16,2,32,457,122,300,1774576836118,1774576836126,10961712,1220684,9390685
17,2,16,583,116,451,1774576840119,1774576840129,11754721,1622190,9908774
1,3,0,3,0,3,1774576845279,1774576845284,264755,0,264755
2,3,30,178,120,38,1774576849286,1774576849292,633359,306040,276322
3,3,84,747,416,270,1774576853298,1774576853310,4894906,2722588,1773065
4,3,21,379,101,270,1774576857292,1774576857300,3989942,1061852,2843966
5,3,0,573,155,399,1774576861297,1774576861309,8317759,2246423,5795995
6,3,18,537,140,375,1774576865302,1774576865310,7843704,1158243,6503687
7,3,34,552,150,387,1774576869300,1774576869309,7670610,960725,6613764
8,3,27,382,17,358,1774576873304,1774576873311,4203543,176481,3954400
9,3,0,420,79,326,1774576877300,1774576877310,6043331,1133962,4694024
10,3,19,367,111,248,1774576881298,1774576881307,5212157,944304,4233482
11,3,209,818,413,351,1774576885321,1774576885338,7630184,2596769,4693864
12,3,18,447,119,320,1774576889304,1774576889313,6344041,1218985,5043098
13,3,9,456,114,332,1774576893303,1774576893313,8088686,1620515,6325995
14,3,9,458,117,333,1774576897306,1774576897314,8081127,878447,7169362
15,3,12,407,50,346,1774576901306,1774576901317,8552926,307201,8178129
16,3,62,417,88,305,1774576905308,1774576905318,7994893,889552,6862665
17,3,40,393,69,315,1774576909304,1774576909312,7141263,971913,6042625
1,4,0,461,0,461,1774576914398,1774576914406,98515973,0,98515973
2,4,22,402,98,298,1774576918403,1774576918410,13317949,254157,13048242
3,4,40,805,412,338,1774576922419,1774576922431,20363811,2712793,17288891
4,4,25,403,94,304,1774576926405,1774576926413,14752735,991017,13709005
5,4,11,482,185,282,1774576930411,1774576930418,19103042,2686899,16198217
6,4,0,435,101,328,1774576934408,1774576934418,18744004,553782,18175407
7,4,74,403,83,304,1774576938406,1774576938415,16571514,534558,15933941
8,4,19,373,13,355,1774576942410,1774576942417,16885936,135387,16698448
9,4,22,446,104,329,1774576946411,1774576946420,20381238,1495706,18698466
10,4,79,369,102,252,1774576950410,1774576950417,13467716,300444,13068323
11,4,102,754,401,297,1774576954423,1774576954432,17979258,2529915,15096055
12,4,149,312,96,208,1774576958407,1774576958414,14006743,985267,12939345
13,4,85,384,24,359,1774576962414,1774576962427,20295955,342269,19939423
14,4,0,187,0,187,1774576966407,1774576966414,15024002,0,15024002
15,4,0,81,0,81,1774576970405,1774576970409,12996674,0,12996674
16,4,0,55,0,55,1774576974401,1774576974405,9043185,0,9043185
17,4,0,114,0,114,1774576978405,1774576978410,19198159,0,19198159
18,4,0,92,0,92,1774576982405,1774576982409,14479022,0,14479022
19,4,0,83,0,83,1774576986406,1774576986410,13307340,0,13307340
20,4,0,104,0,104,1774576990411,1774576990415,17090119,0,17090119
21,4,0,94,0,94,1774576994412,1774576994418,15822457,0,15822457
22,4,0,97,0,97,1774576998412,1774576998418,16714731,0,16714731
23,4,0,88,0,88,1774577002412,1774577002418,15514967,0,15514967
24,4,0,95,0,95,1774577006414,1774577006419,17127822,0,17127822
25,4,0,85,0,85,1774577010409,1774577010413,15661553,0,15661553
26,4,0,77,0,77,1774577014416,1774577014423,13688893,0,13688893
27,4,0,80,0,80,1774577018411,1774577018417,8206477,0,8206477
28,4,0,80,0,80,1774577022416,1774577022422,8525753,0,8525753
29,4,0,82,0,82,1774577026416,1774577026421,9065075,0,9065075
30,4,0,84,0,84,1774577030413,1774577030419,9620921,0,9620921
31,4,0,48,0,48,1774577034413,1774577034419,5110753,0,5110753
32,4,0,77,0,77,1774577038414,1774577038417,8196815,0,8196815
33,4,0,81,0,81,1774577042416,1774577042421,8945389,0,8945389
34,4,0,91,0,91,1774577046414,1774577046419,10413019,0,10413019
35,4,0,97,0,97,1774577050416,1774577050422,11487180,0,11487180
36,4,0,111,0,111,1774577054417,1774577054422,13588186,0,13588186
37,4,0,85,0,85,1774577058419,1774577058424,10744889,0,10744889
38,4,0,110,0,110,1774577062421,1774577062426,14344339,0,14344339
39,4,0,68,0,68,1774577066417,1774577066422,9137230,0,9137230
40,4,0,86,0,86,1774577070420,1774577070424,11241507,0,11241507
41,4,0,100,0,100,1774577074424,1774577074430,12630133,0,12630133
42,4,0,68,0,68,1774577078418,1774577078422,8859261,0,8859261
43,4,0,41,0,41,1774577082417,1774577082420,5504566,0,5504566
44,4,0,0,0,0,1774577086415,1774577086418,0,0,0
45,4,0,0,0,0,1774577090415,1774577090420,0,0,0
46,4,0,0,0,0,1774577094416,1774577094421,0,0,0
