Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,0,246,126,99,1774576643350,1774576643360,983543,504062,395572
2,0,21,724,382,288,1774576647370,1774576647388,5796379,3055160,2309359
3,0,0,479,174,291,1774576651358,1774576651368,5727334,2078003,3482143
4,0,0,464,82,370,1774576655359,1774576655369,7396176,1305002,5900275
5,0,0,282,13,262,1774576659355,1774576659361,4764217,49922,4687428
6,0,0,440,188,230,1774576663362,1774576663371,5294585,1471015,3651470
7,0,0,583,180,383,1774576667365,1774576667375,8831849,2123331,6472584
8,0,0,338,19,308,1774576671360,1774576671368,5436590,299322,4963937
9,0,0,362,68,279,1774576675366,1774576675373,5012626,251205,4705999
10,0,0,392,122,260,1774576679362,1774576679371,4513616,935622,3501281
11,0,0,730,325,362,1774576683374,1774576683386,10153145,3789228,5862605
12,0,0,462,132,309,1774576687370,1774576687378,8681518,2062068,6291420
13,0,0,524,116,387,1774576691372,1774576691382,8253942,412201,7767134
14,0,0,425,57,356,1774576695369,1774576695378,7922274,429404,7402512
15,0,0,446,58,373,1774576699371,1774576699380,9428080,666966,8588584
16,0,0,549,139,396,1774576703375,1774576703385,11574953,2151203,9207009
1,1,0,0,0,0,1774576707519,1774576707521,0,0,0
2,1,90,242,82,153,1774576711523,1774576711530,737119,249869,465910
3,1,126,461,117,340,1774576715531,1774576715540,3242483,821429,2392955
4,1,92,742,354,335,1774576719541,1774576719553,8168281,3892295,3693199
5,1,131,499,159,322,1774576723537,1774576723548,7473571,2379655,4824487
6,1,69,501,110,373,1774576727545,1774576727556,7094936,800730,6161722
7,1,130,443,123,310,1774576731543,1774576731553,5091251,845856,4176595
8,1,124,616,178,411,1774576735545,1774576735558,6873390,1931524,4648847
9,1,106,471,67,390,1774576739546,1774576739556,6995128,993197,5794383
10,1,73,329,17,304,1774576743543,1774576743553,5265412,110955,5100335
11,1,120,461,105,332,1774576747547,1774576747556,5262388,706981,4393791
