Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,62,333,122,179,1774576643388,1774576643400,1344385,492897,722335
2,0,198,428,56,351,1774576647392,1774576647401,3435385,448561,2818726
3,0,158,570,127,418,1774576651394,1774576651406,6838742,1521648,5017568
4,0,139,532,76,434,1774576655398,1774576655408,8499309,1212452,6935900
5,0,114,295,11,279,1774576659390,1774576659396,5419893,42638,5357895
6,0,163,429,155,248,1774576663395,1774576663405,5543178,1217992,4121089
7,0,149,588,129,431,1774576667400,1774576667411,8637782,1526253,6780302
8,0,114,311,19,284,1774576671392,1774576671399,4939743,300042,4513442
9,0,132,332,64,249,1774576675395,1774576675403,4155035,238190,3846120
10,0,173,413,68,330,1774576679396,1774576679406,4737293,523931,4097750
11,0,203,498,28,448,1774576683403,1774576683412,7365379,327054,6781317
12,0,170,639,80,527,1774576687410,1774576687421,11606497,1253063,9852130
13,0,151,572,76,463,1774576691405,1774576691415,8862488,272638,8471412
14,0,131,452,43,403,1774576695408,1774576695416,8545289,325536,8174338
15,0,116,421,54,354,1774576699405,1774576699414,9024674,622835,8251856
16,0,177,546,91,415,1774576703410,1774576703420,11449188,1411639,9416901
1,1,0,0,0,0,1774576707316,1774576707320,0,0,0
2,1,0,97,55,21,1774576711319,1774576711324,275497,156219,59677
3,1,40,487,94,360,1774576715329,1774576715337,3332637,640896,2466707
4,1,42,590,35,536,1774576719334,1774576719344,6385852,377775,5802957
5,1,38,513,74,397,1774576723333,1774576723344,7586545,1092334,5874198
6,1,28,619,65,530,1774576727343,1774576727353,10641370,480455,9951649
7,1,52,550,77,442,1774576731343,1774576731357,8132600,514404,7411042
8,1,39,627,95,501,1774576735343,1774576735354,7035429,1011638,5693653
9,1,24,620,49,541,1774576739343,1774576739356,9089339,716586,7934020
10,1,6,481,8,468,1774576743340,1774576743351,8787481,52518,8722180
11,1,28,387,84,275,1774576747338,1774576747349,6728202,548325,5997160
12,1,22,528,42,461,1774576751340,1774576751349,7390272,440957,6686700
13,1,21,546,47,473,1774576755345,1774576755356,8999555,680577,7942527
14,1,68,528,47,452,1774576759349,1774576759359,9863656,258150,9535258
15,1,70,627,74,508,1774576763348,1774576763359,8014751,473620,7253190
16,1,1,509,9,496,1774576767341,1774576767351,6875378,93267,6740680
17,1,20,338,70,246,1774576771338,1774576771345,6100222,1002922,4782094
1,2,0,29,0,29,1774576776165,1774576776169,2559211,0,2559211
2,2,24,378,48,308,1774576780172,1774576780179,11782056,124085,11601079
3,2,26,532,67,444,1774576784176,1774576784187,13670867,440455,13092294
4,2,152,488,71,376,1774576788186,1774576788199,14480015,749573,13297510
5,2,154,444,49,367,1774576792183,1774576792194,16414232,711876,15295677
6,2,83,469,10,453,1774576796183,1774576796190,17874846,136918,17691085
7,2,18,513,111,380,1774576800182,1774576800191,16020101,712097,15166930
8,2,200,348,47,280,1774576804184,1774576804194,15699714,488366,14993210
9,2,237,561,74,453,1774576808195,1774576808209,16341053,1063991,14788306
10,2,122,696,62,591,1774576812191,1774576812202,19165672,270637,18748234
11,2,161,587,51,497,1774576816190,1774576816200,16944991,319418,16381343
12,2,87,565,103,438,1774576820190,1774576820201,16291413,1053261,14992596
13,2,114,550,80,442,1774576824191,1774576824201,18322356,1135242,16789666
14,2,121,518,41,453,1774576828189,1774576828197,21848708,215514,21389654
15,2,194,270,7,255,1774576832182,1774576832190,12644514,42681,12553049
16,2,172,575,83,467,1774576836193,1774576836204,12104499,837128,11015319
17,2,105,568,45,495,1774576840192,1774576840204,13329716,632693,12303463
1,3,0,421,19,394,1774576845247,1774576845254,38461004,1676210,36079006
2,3,0,83,61,6,1774576849244,1774576849248,746332,152925,553298
3,3,26,479,33,413,1774576853252,1774576853261,3121568,214368,2692821
4,3,51,488,64,395,1774576857254,1774576857262,5121005,670295,4146906
5,3,53,641,95,506,1774576861261,1774576861272,9283537,1373250,7331952
6,3,34,693,81,586,1774576865265,1774576865275,11781968,803531,10819987
7,3,47,677,128,512,1774576869263,1774576869272,9364953,815092,8314289
8,3,5,513,7,501,1774576873269,1774576873277,5582714,72436,5458536
9,3,0,347,61,262,1774576877257,1774576877264,4978850,872901,3762628
10,3,42,380,56,288,1774576881264,1774576881271,5949808,543506,5277030
11,3,31,586,51,514,1774576885266,1774576885275,6558569,318041,6109643
12,3,0,553,70,456,1774576889263,1774576889273,7267816,714242,6278054
13,3,41,612,56,516,1774576893264,1774576893274,10273004,793862,8912016
14,3,48,571,48,497,1774576897268,1774576897276,10775834,422793,10217582
15,3,28,579,48,512,1774576901270,1774576901279,10536197,293286,10126748
16,3,20,386,54,320,1774576905261,1774576905269,7391257,543377,6727104
17,3,28,631,229,359,1774576909268,1774576909278,10958567,3218121,7136105
1,4,0,138,0,138,1774576914384,1774576914388,22128828,0,22128828
2,4,99,544,209,299,1774576918395,1774576918406,16749300,540893,16115229
3,4,165,485,65,392,1774576922394,1774576922403,16589777,426369,15979811
4,4,173,586,91,453,1774576926398,1774576926408,17238212,959325,15836219
5,4,214,611,161,426,1774576930405,1774576930416,21102565,2337867,18416154
6,4,249,722,182,507,1774576934407,1774576934421,20572253,1155289,19255283
7,4,234,527,60,443,1774576938401,1774576938412,19191204,386169,18650522
8,4,67,483,7,470,1774576942402,1774576942409,17210984,72824,17075728
9,4,176,439,171,245,1774576946399,1774576946406,17512433,2457465,14724571
10,4,157,538,76,432,1774576950405,1774576950415,17890712,288289,17516848
11,4,168,536,55,456,1774576954405,1774576954414,18966435,345913,18463287
12,4,293,538,92,411,1774576958412,1774576958421,17416636,944688,16112493
13,4,207,602,77,510,1774576962410,1774576962424,26161645,1098038,24849707
14,4,0,331,0,331,1774576966402,1774576966409,18895002,0,18895002
15,4,0,69,0,69,1774576970393,1774576970396,11070305,0,11070305
16,4,0,81,0,81,1774576974393,1774576974398,13317695,0,13317695
17,4,0,118,0,118,1774576978396,1774576978401,19870694,0,19870694
18,4,0,93,0,93,1774576982396,1774576982400,14827098,0,14827098
19,4,0,81,0,81,1774576986396,1774576986400,12985868,0,12985868
20,4,0,99,0,99,1774576990399,1774576990404,16267329,0,16267329
21,4,0,107,0,107,1774576994407,1774576994413,18010104,0,18010104
22,4,0,84,0,84,1774576998401,1774576998406,14473615,0,14473615
23,4,0,88,0,88,1774577002403,1774577002408,15513993,0,15513993
24,4,0,99,0,99,1774577006401,1774577006406,17847040,0,17847040
25,4,0,87,0,87,1774577010400,1774577010403,16029210,0,16029210
26,4,0,75,0,75,1774577014403,1774577014409,12325220,0,12325220
27,4,0,92,0,92,1774577018405,1774577018410,9436843,0,9436843
28,4,0,84,0,84,1774577022408,1774577022413,8951202,0,8951202
29,4,0,107,0,107,1774577026412,1774577026419,11828566,0,11828566
30,4,0,99,0,99,1774577030409,1774577030414,11338383,0,11338383
31,4,0,90,0,90,1774577034407,1774577034412,9622248,0,9622248
32,4,0,84,0,84,1774577038406,1774577038412,8941462,0,8941462
33,4,0,77,0,77,1774577042408,1774577042411,8502958,0,8502958
34,4,0,83,0,83,1774577046411,1774577046415,9497253,0,9497253
35,4,0,100,0,100,1774577050409,1774577050413,11841580,0,11841580
36,4,0,103,0,103,1774577054411,1774577054416,12608251,0,12608251
37,4,0,83,0,83,1774577058409,1774577058413,10491172,0,10491172
38,4,0,98,0,98,1774577062410,1774577062413,12778119,0,12778119
39,4,0,89,0,89,1774577066409,1774577066414,11958351,0,11958351
40,4,0,108,0,108,1774577070409,1774577070414,13963713,0,13963713
41,4,0,105,0,105,1774577074414,1774577074419,13260501,0,13260501
42,4,0,77,0,77,1774577078410,1774577078415,10031222,0,10031222
43,4,0,66,0,66,1774577082412,1774577082416,8860837,0,8860837
44,4,0,0,0,0,1774577086408,1774577086411,0,0,0
45,4,0,0,0,0,1774577090408,1774577090416,0,0,0
46,4,0,0,0,0,1774577094408,1774577094412,0,0,0
