Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,0,272,251,0,1774576643303,1774576643315,1075347,992367,0
2,0,0,463,100,355,1774576647307,1774576647320,3680021,792480,2824107
3,0,0,420,171,243,1774576651306,1774576651316,5002248,2033308,2897580
4,0,0,483,140,333,1774576655311,1774576655321,7676070,2221337,5296111
5,0,0,216,23,193,1774576659304,1774576659309,3920427,87125,3833302
6,0,0,379,249,107,1774576663308,1774576663318,4634886,1934666,2521411
7,0,0,600,241,343,1774576667314,1774576667324,8714353,2830292,5696186
8,0,0,369,27,339,1774576671309,1774576671317,5828458,423995,5357314
9,0,0,249,72,163,1774576675309,1774576675316,3534752,261795,3222063
10,0,0,376,112,255,1774576679312,1774576679320,4388803,853412,3466776
11,0,0,425,79,341,1774576683316,1774576683324,6458158,915958,5484227
12,0,0,440,141,287,1774576687323,1774576687336,8239248,2196518,5855750
13,0,0,461,129,319,1774576691318,1774576691326,7987724,451399,7490867
14,0,0,358,72,281,1774576695315,1774576695323,6996392,538396,6420631
15,0,0,353,62,278,1774576699318,1774576699326,8143708,709545,7285352
16,0,0,498,187,297,1774576703324,1774576703333,11145384,2884495,8044945
1,1,0,0,0,0,1774576707407,1774576707410,0,0,0
2,1,59,144,106,34,1774576711409,1774576711415,422262,310808,99729
3,1,82,425,138,279,1774576715416,1774576715425,2942786,952886,1934705
4,1,54,387,58,319,1774576719419,1774576719428,4219115,631054,3479264
5,1,62,434,137,285,1774576723425,1774576723433,6453234,2034465,4240520
6,1,69,438,101,329,1774576727427,1774576727437,6717112,746504,5916250
7,1,75,419,151,249,1774576731431,1774576731442,5762948,1021857,4612441
8,1,76,505,170,320,1774576735432,1774576735443,5595422,1825091,3609316
9,1,70,409,86,315,1774576739431,1774576739441,6030213,1265061,4647478
10,1,0,278,19,258,1774576743424,1774576743433,4948305,114221,4831447
11,1,0,354,104,232,1774576747430,1774576747437,5046203,687871,4239222
12,1,62,418,78,332,1774576751429,1774576751438,6027097,825955,5116382
13,1,0,388,72,308,1774576755429,1774576755437,6898971,1048454,5734056
14,1,78,459,132,322,1774576759433,1774576759442,7454452,490754,6951192
15,1,54,465,106,348,1774576763437,1774576763445,6338833,687215,5580348
16,1,62,301,20,281,1774576767426,1774576767432,4543237,208783,4334454
17,1,71,406,107,281,1774576771432,1774576771441,7338975,1543251,5536058
1,2,0,370,0,370,1774576776120,1774576776127,35467417,0,35467417
2,2,0,206,68,129,1774576780122,1774576780128,12762167,172285,12567103
3,2,0,318,68,242,1774576784124,1774576784130,11715806,443191,11220461
4,2,46,392,81,305,1774576788130,1774576788139,12174941,850382,11261594
5,2,6,393,72,312,1774576792134,1774576792142,14594741,1042074,13422352
6,2,0,294,22,272,1774576796128,1774576796135,14428308,293529,14134779
7,2,0,280,69,193,1774576800128,1774576800134,10612130,438700,10059022
8,2,9,387,104,272,1774576804139,1774576804148,12698825,1075766,11509259
9,2,26,459,146,299,1774576808142,1774576808150,14951611,2090362,12660801
10,2,9,470,105,358,1774576812142,1774576812148,17772388,331442,17409207
11,2,48,351,67,279,1774576816135,1774576816141,14342522,415720,13895800
12,2,8,419,109,304,1774576820136,1774576820145,13430311,1108588,12260702
13,2,20,408,103,297,1774576824140,1774576824146,17260558,1455876,15691635
14,2,17,380,89,280,1774576828140,1774576828148,17813841,601911,17173048
15,2,0,266,21,242,1774576832136,1774576832141,10513510,126945,10368394
16,2,16,390,118,258,1774576836141,1774576836149,9780488,1183459,8456545
17,2,10,452,128,316,1774576840145,1774576840151,10122892,1792973,8217868
1,3,0,0,0,0,1774576845305,1774576845309,0,0,0
2,3,90,168,91,69,1774576849309,1774576849313,611536,234001,356945
3,3,95,312,83,222,1774576853315,1774576853322,2050248,544128,1460215
4,3,184,382,79,297,1774576857318,1774576857325,4031484,832552,3135690
5,3,195,588,250,301,1774576861329,1774576861337,8548619,3629665,4381908
6,3,202,428,112,305,1774576865324,1774576865334,6191882,788116,5312637
7,3,178,521,177,328,1774576869327,1774576869335,6440393,1138440,5199063
8,3,155,301,22,278,1774576873323,1774576873329,3269555,228775,3030387
9,3,67,331,80,239,1774576877327,1774576877339,4771615,1150688,3448328
10,3,198,376,119,249,1774576881328,1774576881335,4873221,1030229,3760271
11,3,231,383,70,308,1774576885330,1774576885340,4896116,440946,4423657
12,3,224,492,132,354,1774576889338,1774576889349,6597374,1356828,5178896
13,3,186,482,121,349,1774576893330,1774576893342,8408550,1723677,6513910
14,3,208,474,169,293,1774576897333,1774576897342,7823605,1204043,6561196
15,3,174,393,56,329,1774576901333,1774576901341,8202586,345451,7807768
16,3,97,440,104,319,1774576905340,1774576905348,7724462,1054391,6497746
17,3,107,343,103,236,1774576909327,1774576909338,6346755,1453075,4837248
1,4,0,311,44,267,1774576914352,1774576914359,50197649,6922361,43275288
2,4,0,271,72,194,1774576918352,1774576918357,30609548,182917,30413923
3,4,0,425,90,329,1774576922358,1774576922366,15766512,586855,15140545
4,4,0,403,82,316,1774576926359,1774576926366,15152567,860725,14239351
5,4,1,495,171,321,1774576930367,1774576930379,19839071,2476891,17318719
6,4,0,413,121,278,1774576934361,1774576934368,18420116,741479,17596704
7,4,0,395,92,297,1774576938361,1774576938368,15513616,588137,14887128
8,4,0,349,21,325,1774576942359,1774576942367,17366099,217598,17117420
9,4,0,357,95,247,1774576946361,1774576946367,24340981,1361448,22764482
10,4,0,481,97,376,1774576950366,1774576950374,22208593,365257,21825110
11,4,0,367,79,276,1774576954365,1774576954372,12128925,493718,11560238
12,4,0,426,103,312,1774576958367,1774576958375,14393346,1053073,13227822
13,4,0,351,28,320,1774576962365,1774576962372,17540312,397793,17099898
14,4,0,255,0,255,1774576966361,1774576966367,17358989,0,17358989
15,4,0,84,0,84,1774576970356,1774576970362,11815422,0,11815422
16,4,0,75,0,75,1774576974359,1774576974364,12328483,0,12328483
17,4,0,91,0,91,1774576978356,1774576978362,15320441,0,15320441
18,4,0,81,0,81,1774576982357,1774576982361,12723416,0,12723416
19,4,0,86,0,86,1774576986358,1774576986362,13784202,0,13784202
20,4,0,96,0,96,1774576990362,1774576990367,15770952,0,15770952
21,4,0,89,0,89,1774576994364,1774576994371,14976689,0,14976689
22,4,0,101,0,101,1774576998363,1774576998370,17399138,0,17399138
23,4,0,98,0,98,1774577002364,1774577002370,17273282,0,17273282
24,4,0,76,0,76,1774577006362,1774577006368,13697963,0,13697963
25,4,0,83,0,83,1774577010364,1774577010368,15289307,0,15289307
26,4,0,59,0,59,1774577014366,1774577014372,10566272,0,10566272
27,4,0,92,0,92,1774577018366,1774577018372,9433306,0,9433306
28,4,0,84,0,84,1774577022370,1774577022376,8948126,0,8948126
29,4,0,107,0,107,1774577026370,1774577026377,11824105,0,11824105
30,4,0,79,0,79,1774577030369,1774577030376,9044864,0,9044864
31,4,0,48,0,48,1774577034362,1774577034368,5060104,0,5060104
32,4,0,76,0,76,1774577038365,1774577038370,8086730,0,8086730
33,4,0,81,0,81,1774577042366,1774577042370,8941247,0,8941247
34,4,0,93,0,93,1774577046368,1774577046372,10637497,0,10637497
35,4,0,103,0,103,1774577050369,1774577050374,12192886,0,12192886
36,4,0,93,0,93,1774577054372,1774577054377,11380581,0,11380581
37,4,0,91,0,91,1774577058370,1774577058374,11498794,0,11498794
38,4,0,100,0,100,1774577062369,1774577062375,13035066,0,13035066
39,4,0,81,0,81,1774577066370,1774577066374,10880095,0,10880095
40,4,0,71,0,71,1774577070369,1774577070375,9387166,0,9387166
41,4,0,103,0,103,1774577074373,1774577074381,13003994,0,13003994
42,4,0,78,0,78,1774577078373,1774577078377,10158605,0,10158605
43,4,0,37,0,37,1774577082370,1774577082374,4965828,0,4965828
44,4,0,0,0,0,1774577086368,1774577086372,0,0,0
45,4,0,0,0,0,1774577090368,1774577090376,0,0,0
46,4,0,0,0,0,1774577094369,1774577094374,0,0,0
