Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,19,190,179,0,1774576643312,1774576643321,752019,708484,0
2,0,34,436,73,359,1774576647322,1774576647333,3471608,579329,2860533
3,0,11,425,170,245,1774576651317,1774576651327,5066088,2023505,2923528
4,0,14,433,105,321,1774576655319,1774576655329,6885966,1667025,5107789
5,0,7,274,14,260,1774576659316,1774576659322,5221023,53224,5167799
6,0,12,290,158,125,1774576663318,1774576663327,4107405,1229379,2823612
7,0,19,533,219,286,1774576667327,1774576667338,7579030,2574998,4674851
8,0,4,389,26,363,1774576671322,1774576671331,6148555,408625,5739930
9,0,30,268,90,168,1774576675320,1774576675326,3686563,328068,3322060
10,0,13,403,134,254,1774576679325,1774576679334,4939583,1023127,3801930
11,0,23,423,76,344,1774576683330,1774576683337,6456894,882202,5539862
12,0,22,405,116,285,1774576687329,1774576687339,7614403,1807271,5744835
13,0,24,420,107,296,1774576691332,1774576691342,7384605,376243,6948587
14,0,15,370,54,308,1774576695330,1774576695337,6961967,404626,6497410
15,0,15,349,61,286,1774576699330,1774576699337,7651187,698868,6929403
16,0,18,458,184,261,1774576703333,1774576703344,10757649,2840223,7716753
1,1,0,0,0,0,1774576707442,1774576707445,0,0,0
2,1,0,224,100,111,1774576711447,1774576711453,665213,297067,329552
3,1,0,466,146,314,1774576715454,1774576715462,3240757,1013430,2185654
4,1,0,369,66,298,1774576719454,1774576719462,4033499,720329,3258616
5,1,0,452,143,296,1774576723461,1774576723469,6735177,2128988,4412661
6,1,0,427,84,335,1774576727460,1774576727468,6633611,749970,5812982
7,1,0,392,94,287,1774576731466,1774576731476,4742117,639020,4028339
8,1,0,624,237,372,1774576735469,1774576735479,6894608,2552750,4180297
9,1,0,431,114,306,1774576739466,1774576739475,6365682,1680579,4522966
10,1,0,255,20,235,1774576743459,1774576743465,4460848,85453,4375395
11,1,0,432,146,277,1774576747468,1774576747475,5208464,971096,4177502
12,1,0,500,172,316,1774576751473,1774576751481,7011387,1828963,5054858
13,1,0,391,84,301,1774576755463,1774576755472,6663753,1226011,5350143
14,1,0,479,141,319,1774576759470,1774576759479,6396754,406263,5910123
15,1,0,481,162,309,1774576763470,1774576763478,5700427,1055548,4579694
16,1,0,298,15,282,1774576767462,1774576767470,4861914,157139,4694296
17,1,0,451,125,313,1774576771471,1774576771479,7985561,1807595,5990025
1,2,0,26,0,26,1774576776170,1774576776173,2294584,0,2294584
2,2,18,352,107,238,1774576780178,1774576780186,12246851,277322,11951379
3,2,29,515,167,334,1774576784182,1774576784191,14725233,1098722,13534389
4,2,104,386,139,232,1774576788184,1774576788197,10010906,1467198,8385367
5,2,162,396,153,236,1774576792192,1774576792203,15506295,2223615,13180964
6,2,4,423,41,378,1774576796188,1774576796197,15468157,582480,14827676
7,2,30,359,117,238,1774576800184,1774576800193,10613511,750769,9837073
8,2,102,445,185,250,1774576804194,1774576804205,15652943,1925040,13623789
9,2,160,389,164,207,1774576808191,1774576808205,11529110,2356566,8913949
10,2,21,570,89,477,1774576812194,1774576812204,17652143,332681,17310293
11,2,15,423,77,343,1774576816188,1774576816197,13443311,482235,12942296
12,2,88,439,202,227,1774576820193,1774576820202,15972410,2066553,13803521
13,2,97,460,127,329,1774576824192,1774576824202,18629739,1802136,16770840
14,2,34,520,113,401,1774576828197,1774576828205,20371535,722450,19588153
15,2,149,95,10,85,1774576832181,1774576832187,6549560,60978,6488582
16,2,164,486,128,353,1774576836196,1774576836206,10819312,1291455,9477385
17,2,103,485,166,308,1774576840199,1774576840209,10998423,2334970,8508698
1,3,0,0,0,0,1774576845276,1774576845279,0,0,0
2,3,0,165,129,27,1774576849280,1774576849287,599925,328815,248162
3,3,0,374,103,263,1774576853285,1774576853292,2446936,672139,1722629
4,3,0,405,91,307,1774576857288,1774576857297,4263349,956509,3233244
5,3,48,735,324,370,1774576861301,1774576861319,10668772,4696270,5378259
6,3,41,706,332,345,1774576865301,1774576865315,9814255,3391453,6127556
7,3,0,574,233,327,1774576869298,1774576869306,7198927,1491922,5617367
8,3,0,306,22,284,1774576873294,1774576873301,3377763,228176,3149587
9,3,0,367,106,257,1774576877300,1774576877310,5281030,1521162,3702484
10,3,30,366,179,172,1774576881296,1774576881308,4180720,1148195,2885854
11,3,0,441,95,344,1774576885300,1774576885308,5247025,594812,4639685
12,3,0,484,148,325,1774576889302,1774576889313,6497276,1515937,4868672
13,3,0,419,75,339,1774576893301,1774576893309,7610426,1065958,6473395
14,3,0,417,99,314,1774576897302,1774576897312,7622558,614580,6983295
15,3,0,377,47,326,1774576901302,1774576901309,8171899,288431,7858904
16,3,20,378,108,263,1774576905303,1774576905311,7565019,1090865,6403452
17,3,64,311,51,258,1774576909298,1774576909306,6450916,718138,5704618
1,4,0,400,69,326,1774576914396,1774576914406,47297863,6088364,40768314
2,4,29,449,168,270,1774576918402,1774576918410,8901995,435325,8438170
3,4,5,407,76,322,1774576922404,1774576922411,15523198,498735,14965428
4,4,13,424,118,296,1774576926406,1774576926412,13454174,1243847,12104937
5,4,83,611,137,440,1774576930415,1774576930425,21085308,1990661,18600741
6,4,8,564,120,437,1774576934409,1774576934420,19218634,665166,18488065
7,4,83,418,128,283,1774576938412,1774576938421,15973103,824945,15103039
8,4,0,328,20,305,1774576942408,1774576942415,16830808,208301,16591301
9,4,23,373,97,271,1774576946411,1774576946422,15320775,1395130,13853709
10,4,23,427,134,282,1774576950418,1774576950426,13188773,408174,12754992
11,4,5,446,114,327,1774576954415,1774576954423,15773893,717720,15024718
12,4,111,363,116,235,1774576958412,1774576958422,14994878,1191522,13680089
13,4,77,354,40,314,1774576962412,1774576962424,18898235,570328,18327907
14,4,0,198,0,198,1774576966410,1774576966416,15363486,0,15363486
15,4,0,59,0,59,1774576970403,1774576970408,9466605,0,9466605
16,4,0,81,0,81,1774576974405,1774576974409,13318405,0,13318405
17,4,0,95,0,95,1774576978406,1774576978412,15998602,0,15998602
18,4,0,69,0,69,1774576982405,1774576982409,10915458,0,10915458
19,4,0,78,0,78,1774576986407,1774576986411,12505750,0,12505750
20,4,0,89,0,89,1774576990409,1774576990414,14625106,0,14625106
21,4,0,107,0,107,1774576994414,1774576994419,18010807,0,18010807
22,4,0,91,0,91,1774576998411,1774576998416,15680689,0,15680689
23,4,0,85,0,85,1774577002412,1774577002419,14985930,0,14985930
24,4,0,83,0,83,1774577006418,1774577006424,14964498,0,14964498
25,4,0,78,0,78,1774577010411,1774577010416,14371989,0,14371989
26,4,0,69,0,69,1774577014413,1774577014419,12182651,0,12182651
27,4,0,95,0,95,1774577018414,1774577018420,9745467,0,9745467
28,4,0,67,0,67,1774577022414,1774577022420,7140007,0,7140007
29,4,0,102,0,102,1774577026420,1774577026428,11276582,0,11276582
30,4,0,80,0,80,1774577030418,1774577030426,9163311,0,9163311
31,4,0,78,0,78,1774577034415,1774577034420,8602223,0,8602223
32,4,0,70,0,70,1774577038412,1774577038416,7451583,0,7451583
33,4,0,65,0,65,1774577042414,1774577042418,7178201,0,7178201
34,4,0,87,0,87,1774577046418,1774577046422,9955553,0,9955553
35,4,0,101,0,101,1774577050417,1774577050422,11960970,0,11960970
36,4,0,100,0,100,1774577054419,1774577054424,12241852,0,12241852
37,4,0,89,0,89,1774577058418,1774577058422,11250439,0,11250439
38,4,0,99,0,99,1774577062418,1774577062423,12909445,0,12909445
39,4,0,76,0,76,1774577066421,1774577066426,10212471,0,10212471
40,4,0,89,0,89,1774577070418,1774577070423,11544214,0,11544214
41,4,0,90,0,90,1774577074425,1774577074431,11367255,0,11367255
42,4,0,63,0,63,1774577078418,1774577078422,8207852,0,8207852
43,4,0,51,0,51,1774577082419,1774577082423,6847346,0,6847346
44,4,0,0,0,0,1774577086416,1774577086420,0,0,0
45,4,0,0,0,0,1774577090416,1774577090421,0,0,0
46,4,0,0,0,0,1774577094417,1774577094421,0,0,0
