EpochID,Equivalent committed tx # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,Sum of Relay1 TCL (ms) (Duration: Relay1 Tx Propose -> Relay1 Tx Commit),Sum of Relay2 TCL (ms) (Duration: Relay2 Tx Propose -> Relay2 Tx Commit),Sum of innerShardTx TCL (ms),Sum of CTX TCL (ms) (Duration: Relay1 Tx Propose -> Relay2 Tx Commit),Sum of All Tx TCL (sec.)
0,48604.00000000000000000000000000000000000000000000000000000000,5169,45760,41110,670291690,159410736,74972246,738201058,813196.35746274259872734546661376953125000000000000000000000000
1,51123.50000000000000000000000000000000000000000000000000000000,5184,47660,44219,597204752,162229173,64216179,701928374,766169.28541884326841682195663452148437500000000000000000000000
2,51731.00000000000000000000000000000000000000000000000000000000,5223,47521,45495,1855271271,447678944,193529935,2256502407,2450057.85224057827144861221313476562500000000000000000000000000
3,50297.50000000000000000000000000000000000000000000000000000000,5162,46903,43368,605131877,214259216,65709147,762535265,828268.61388723354320973157882690429687500000000000000000000000
4,69264.00000000000000000000000000000000000000000000000000000000,6495,60533,65005,5022916170,1181728844,526760606,6280914830,6807711.15988485421985387802124023437500000000000000000000000000
