EpochID,Equivalent committed tx # in this epoch,CTX # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,CTX ratio of this epoch
0,48604.00000000000000000000000000000000000000000000000000000000,43435.00000000000000000000000000000000000000000000000000000000,5169,45760,41110,0.89365072833511649541549104469595476984977722167968750000
1,51123.50000000000000000000000000000000000000000000000000000000,45939.50000000000000000000000000000000000000000000000000000000,5184,47660,44219,0.89859849188729257196683875008602626621723175048828125000
2,51731.00000000000000000000000000000000000000000000000000000000,46508.00000000000000000000000000000000000000000000000000000000,5223,47521,45495,0.89903539463764470252016280937823466956615447998046875000
3,50297.50000000000000000000000000000000000000000000000000000000,45135.50000000000000000000000000000000000000000000000000000000,5162,46903,43368,0.89737064466424776298936194507405161857604980468750000000
4,69264.00000000000000000000000000000000000000000000000000000000,62769.00000000000000000000000000000000000000000000000000000000,6495,60533,65005,0.90622834372834371041705026073032058775424957275390625000
