EpochID,Equivalent committed tx # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,Epoch start time,Epoch end time,Avg. TPS of this epoch
0,48604.00000000000000000000000000000000000000000000000000000000,5169,45760,41110,1774576643303,1774576703461,807.94095271735750429797917604446411132812500000000000000000
1,51123.50000000000000000000000000000000000000000000000000000000,5184,47660,44219,1774576711307,1774576771611,847.77014516855376768944552168250083923339843750000000000000
2,51731.00000000000000000000000000000000000000000000000000000000,5223,47521,45495,1774576776093,1774576840232,806.53527881581294423085637390613555908203125000000000000000
3,50297.50000000000000000000000000000000000000000000000000000000,5162,46903,43368,1774576845247,1774576909382,784.24362119768159118393668904900550842285156250000000000000
4,69264.00000000000000000000000000000000000000000000000000000000,6495,60533,65005,1774576914352,1774577082435,412.08137543275682901366963051259517669677734375000000000000
