EpochID,Equivalent committed tx # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch
0,48604.00000000000000000000000000000000000000000000000000000000,5169,45760,41110
1,51123.50000000000000000000000000000000000000000000000000000000,5184,47660,44219
2,51731.00000000000000000000000000000000000000000000000000000000,5223,47521,45495
3,50297.50000000000000000000000000000000000000000000000000000000,5162,46903,43368
4,69264.00000000000000000000000000000000000000000000000000000000,6495,60533,65005
